product_name,product_price,product_url,product_size,product_id,category,page_number
Gianni's Ice Cream Mini Bites 6x36ml,2.99,https://groceries.aldi.co.uk/en-GB/p-giannis-ice-cream-mini-bites-6x36ml/4088600558318,6x36ml,4088600558318,frozen,12
Roosters Gastro Buttermilk Chicken Breast Fillet Burgers 400g,2.99,https://groceries.aldi.co.uk/en-GB/p-roosters-gastro-buttermilk-chicken-breast-fillet-burgers-400g/4088600560496,400g,4088600560496,frozen,12
Roosters Gastro Southern Fried Chicken Breast Fillet Burgers 400g,2.99,https://groceries.aldi.co.uk/en-GB/p-roosters-gastro-southern-fried-chicken-breast-fillet-burgers-400g/4088600560502,400g,4088600560502,frozen,12
The Little Fishmonger Little Stars 400g,0.99,https://groceries.aldi.co.uk/en-GB/p-the-little-fishmonger-little-stars-400g/4088600560465,400g,4088600560465,frozen,12
Four Seasons Rosemary & Sea Salt Ziggy Fries 750g,1.99,https://groceries.aldi.co.uk/en-GB/p-four-seasons-rosemary-sea-salt-ziggy-fries-750g/4088600560649,750g,4088600560649,frozen,12
The Little Fishmonger Little Fishes 400g,0.99,https://groceries.aldi.co.uk/en-GB/p-the-little-fishmonger-little-fishes-400g/4088600560458,400g,4088600560458,frozen,12
Roosters Gastro Battered Chicken Tenders 350g,3.49,https://groceries.aldi.co.uk/en-GB/p-roosters-gastro-battered-chicken-tenders-350g/4088600560014,350g,4088600560014,frozen,12
Roosters Gastro Sesame Chicken Tenders 385g,3.49,https://groceries.aldi.co.uk/en-GB/p-roosters-gastro-sesame-chicken-tenders-385g/4088600560007,385g,4088600560007,frozen,12
Gianni's Tropico Mixed Berry Lollies 3x100ml,1.39,https://groceries.aldi.co.uk/en-GB/p-giannis-tropico-mixed-berry-lollies-3x100ml/4088600559483,3x100ml,4088600559483,frozen,12
Oakhurst Red Thai Chicken Skewers 400g,2.49,https://groceries.aldi.co.uk/en-GB/p-oakhurst-red-thai-chicken-skewers-400g/4088600559995,400g,4088600559995,frozen,12
Oakhurst BBQ Chicken Skewers 400g,2.49,https://groceries.aldi.co.uk/en-GB/p-oakhurst-bbq-chicken-skewers-400g/4088600559988,400g,4088600559988,frozen,12
Everyday Essentials Breaded Fish Fillets 500g,2.35,https://groceries.aldi.co.uk/en-GB/p-everyday-essentials-breaded-fish-fillets-500g/4088600556024,500g,4088600556024,frozen,12
Everyday Essentials Battered Fish Fillets 500g/4 Pack,2.35,https://groceries.aldi.co.uk/en-GB/p-everyday-essentials-battered-fish-fillets-500g4-pack/4088600556031,500g,4088600556031,frozen,12
Gianni's Popcorn Toffee Ice Creams 4x100ml,1.49,https://groceries.aldi.co.uk/en-GB/p-giannis-popcorn-toffee-ice-creams-4x100ml/4088600559070,4x100ml,4088600559070,frozen,12
Gianni's Mochi Coconut Ice Cream 6x35g,3.25,https://groceries.aldi.co.uk/en-GB/p-giannis-mochi-coconut-ice-cream-6x35g/4088600555911,6x35g,4088600555911,frozen,12
Four Seasons Lightly Spiced Ziggy Fries 750g,1.99,https://groceries.aldi.co.uk/en-GB/p-four-seasons-lightly-spiced-ziggy-fries-750g/4088600560656,750g,4088600560656,frozen,12
The Fishmonger Tempura King Prawns In Batter 156g/12 Pack,1.79,https://groceries.aldi.co.uk/en-GB/p-the-fishmonger-tempura-king-prawns-in-batter-156g12-pack/4088600564425,156g,4088600564425,frozen,12
Gianni's Raspberry Millionaire Ice Cream Sticks 3x88ml,2.49,https://groceries.aldi.co.uk/en-GB/p-giannis-raspberry-millionaire-ice-cream-sticks-3x88ml/4088600560878,3x88ml,4088600560878,frozen,12
Everyday Essentials Sweet & Sour Chicken With Rice 400g,0.85,https://groceries.aldi.co.uk/en-GB/p-everyday-essentials-sweet-sour-chicken-with-rice-400g/4088600556123,400g,4088600556123,frozen,12
Inspired Cuisine Chicken Peri Peri Rice Meal 700g,2.49,https://groceries.aldi.co.uk/en-GB/p-inspired-cuisine-chicken-peri-peri-rice-meal-700g/4088600563367,700g,4088600563367,frozen,12
Inspired Cuisine Sweet & Sour Chicken With Noodles 700g,2.49,https://groceries.aldi.co.uk/en-GB/p-inspired-cuisine-sweet-sour-chicken-with-noodles-700g/4088600563374,700g,4088600563374,frozen,12
